256 256
     0.478      0.714      0.722      0.682      0.588      0.427      0.404      0.424      0.404      0.404      0.490      0.576      0.694      0.827      0.867      0.863      0.871      0.867      0.816      0.616      0.643      0.773      0.792      0.788      0.769      0.745      0.686      0.631      0.635      0.627      0.596      0.439      0.431      0.655      0.784      0.620      0.467      0.482      0.486      0.541      0.655      0.620      0.478      0.533      0.537      0.424      0.404      0.427      0.424      0.431      0.435      0.443      0.463      0.471      0.467      0.459      0.463      0.455      0.463      0.467      0.451      0.408      0.541      0.506      0.490      0.553      0.502      0.518      0.549      0.537      0.576      0.580      0.553      0.408      0.416      0.404      0.388      0.369      0.400      0.588      0.741      0.808      0.839      0.835      0.824      0.788      0.773      0.761      0.663      0.557      0.510      0.761      0.914      0.933      0.925      0.910      0.906      0.843      0.667      0.553      0.541      0.545      0.573      0.651      0.553      0.369      0.345      0.396      0.447      0.435      0.478      0.596      0.686      0.698      0.678      0.776      0.878      0.914      0.918      0.898      0.851      0.824      0.788      0.604      0.439      0.361      0.333      0.333      0.322      0.322      0.329      0.361      0.369      0.373      0.396      0.404      0.420      0.671      0.835      0.851      0.831      0.812      0.816      0.722      0.502      0.396      0.416      0.427      0.541      0.690      0.541      0.655      0.710      0.482      0.412      0.518      0.627      0.710      0.678      0.647      0.671      0.800      0.702      0.545      0.502      0.514      0.498      0.475      0.639      0.647      0.620      0.580      0.404      0.345      0.341      0.337      0.388      0.384      0.376      0.416      0.490      0.529      0.565      0.553      0.596      0.694      0.592      0.490      0.627      0.600      0.529      0.533      0.616      0.627      0.522      0.361      0.325      0.337      0.341      0.322      0.353      0.392      0.341      0.533      0.729      0.514      0.431      0.447      0.455      0.447      0.486      0.533      0.475      0.376      0.427      0.506      0.482      0.612      0.639      0.502      0.502      0.604      0.576      0.522      0.506      0.561      0.537      0.518      0.608      0.576      0.569      0.576      0.545      0.529      0.533      0.557      0.549      0.553      0.557      0.545      0.549      0.569      0.580      0.561      0.573      0.569      0.549      0.557      0.549      0.537      0.482      0.498      0.529      0.537      0.533      0.510 
     0.506      0.698      0.737      0.714      0.710      0.561      0.396      0.400      0.400      0.392      0.525      0.702      0.757      0.788      0.847      0.890      0.890      0.871      0.882      0.843      0.561      0.663      0.788      0.796      0.773      0.788      0.765      0.714      0.643      0.663      0.776      0.667      0.525      0.675      0.804      0.702      0.494      0.478      0.525      0.616      0.682      0.514      0.404      0.404      0.435      0.467      0.439      0.416      0.439      0.455      0.447      0.455      0.447      0.451      0.471      0.463      0.471      0.463      0.478      0.475      0.494      0.439      0.392      0.478      0.549      0.506      0.573      0.553      0.467      0.573      0.608      0.576      0.588      0.475      0.388      0.384      0.388      0.396      0.459      0.592      0.678      0.725      0.816      0.847      0.722      0.651      0.725      0.694      0.588      0.569      0.435      0.443      0.725      0.878      0.906      0.902      0.812      0.627      0.565      0.561      0.565      0.588      0.667      0.655      0.502      0.467      0.459      0.486      0.620      0.584      0.541      0.608      0.612      0.651      0.588      0.639      0.784      0.898      0.918      0.902      0.898      0.843      0.682      0.718      0.722      0.447      0.345      0.329      0.318      0.302      0.314      0.337      0.361      0.369      0.373      0.404      0.404      0.459      0.690      0.827      0.855      0.827      0.839      0.851      0.678      0.475      0.576      0.671      0.769      0.847      0.647      0.659      0.710      0.494      0.408      0.443      0.529      0.624      0.659      0.757      0.737      0.635      0.529      0.502      0.514      0.533      0.522      0.478      0.655      0.655      0.573      0.459      0.388      0.365      0.357      0.490      0.667      0.545      0.365      0.424      0.494      0.439      0.463      0.420      0.533      0.706      0.631      0.533      0.537      0.522      0.549      0.671      0.592      0.545      0.518      0.447      0.408      0.341      0.329      0.337      0.357      0.416      0.416      0.435      0.518      0.455      0.478      0.522      0.424      0.471      0.502      0.541      0.518      0.416      0.510      0.557      0.514      0.478      0.529      0.471      0.451      0.545      0.616      0.576      0.573      0.533      0.475      0.588      0.655      0.584      0.549      0.576      0.569      0.545      0.545      0.565      0.541      0.522      0.545      0.553      0.533      0.537      0.557      0.561      0.561      0.588      0.580      0.541      0.541      0.525      0.537      0.545      0.533      0.502      0.529      0.573 
     0.651      0.667      0.725      0.694      0.690      0.510      0.392      0.392      0.365      0.384      0.447      0.584      0.655      0.710      0.769      0.855      0.894      0.886      0.875      0.882      0.792      0.569      0.624      0.745      0.792      0.776      0.761      0.784      0.753      0.729      0.808      0.722      0.569      0.576      0.714      0.733      0.525      0.522      0.635      0.580      0.494      0.420      0.408      0.420      0.427      0.443      0.443      0.451      0.471      0.459      0.439      0.447      0.443      0.443      0.467      0.463      0.451      0.463      0.494      0.502      0.482      0.498      0.431      0.412      0.580      0.627      0.565      0.580      0.510      0.478      0.514      0.580      0.576      0.467      0.365      0.365      0.400      0.412      0.518      0.541      0.545      0.588      0.718      0.812      0.698      0.655      0.698      0.651      0.533      0.408      0.408      0.396      0.439      0.710      0.847      0.757      0.608      0.580      0.600      0.651      0.667      0.651      0.706      0.714      0.651      0.663      0.659      0.647      0.702      0.741      0.565      0.573      0.557      0.565      0.561      0.525      0.675      0.835      0.886      0.886      0.898      0.722      0.427      0.600      0.816      0.651      0.361      0.365      0.325      0.298      0.325      0.322      0.329      0.349      0.345      0.357      0.392      0.404      0.451      0.733      0.867      0.871      0.867      0.871      0.816      0.765      0.835      0.871      0.902      0.694      0.557      0.722      0.651      0.400      0.384      0.392      0.412      0.576      0.718      0.722      0.557      0.545      0.569      0.502      0.494      0.522      0.506      0.482      0.549      0.467      0.365      0.361      0.384      0.337      0.384      0.659      0.788      0.588      0.404      0.447      0.439      0.482      0.522      0.400      0.486      0.667      0.596      0.545      0.506      0.584      0.612      0.584      0.561      0.475      0.463      0.431      0.420      0.404      0.384      0.392      0.447      0.541      0.533      0.439      0.471      0.435      0.427      0.451      0.447      0.435      0.439      0.443      0.490      0.529      0.580      0.565      0.561      0.498      0.471      0.443      0.580      0.620      0.553      0.596      0.557      0.533      0.678      0.690      0.604      0.600      0.612      0.588      0.549      0.565      0.565      0.588      0.576      0.549      0.549      0.580      0.580      0.573      0.569      0.569      0.576      0.561      0.557      0.537      0.533      0.537      0.510      0.498      0.518      0.525      0.514      0.596 
     0.702      0.643      0.624      0.569      0.698      0.659      0.451      0.376      0.424      0.412      0.514      0.729      0.722      0.706      0.725      0.808      0.855      0.867      0.863      0.851      0.847      0.722      0.596      0.616      0.729      0.773      0.765      0.820      0.816      0.675      0.769      0.808      0.675      0.620      0.620      0.733      0.741      0.635      0.533      0.451      0.439      0.416      0.408      0.416      0.424      0.435      0.424      0.447      0.451      0.463      0.447      0.439      0.443      0.447      0.447      0.455      0.447      0.463      0.455      0.478      0.475      0.478      0.467      0.416      0.416      0.471      0.529      0.545      0.502      0.498      0.525      0.592      0.573      0.427      0.388      0.380      0.435      0.498      0.482      0.486      0.514      0.518      0.529      0.671      0.737      0.608      0.541      0.498      0.420      0.388      0.404      0.396      0.400      0.463      0.584      0.604      0.631      0.659      0.635      0.678      0.706      0.694      0.690      0.718      0.686      0.627      0.655      0.706      0.725      0.667      0.506      0.490      0.537      0.553      0.596      0.580      0.643      0.749      0.820      0.820      0.682      0.549      0.435      0.384      0.635      0.694      0.416      0.345      0.345      0.310      0.314      0.341      0.318      0.329      0.341      0.353      0.396      0.431      0.392      0.510      0.796      0.867      0.867      0.878      0.863      0.855      0.890      0.906      0.906      0.718      0.635      0.714      0.486      0.365      0.404      0.408      0.404      0.569      0.612      0.557      0.541      0.525      0.569      0.592      0.537      0.506      0.518      0.486      0.416      0.357      0.376      0.376      0.392      0.353      0.314      0.451      0.627      0.490      0.400      0.416      0.396      0.431      0.451      0.494      0.541      0.569      0.525      0.518      0.569      0.624      0.553      0.533      0.545      0.455      0.475      0.549      0.490      0.545      0.541      0.537      0.498      0.490      0.475      0.431      0.424      0.431      0.451      0.494      0.514      0.478      0.455      0.498      0.580      0.592      0.588      0.608      0.553      0.573      0.565      0.463      0.569      0.706      0.671      0.541      0.490      0.576      0.722      0.639      0.643      0.620      0.596      0.600      0.588      0.565      0.584      0.580      0.588      0.608      0.580      0.596      0.592      0.588      0.584      0.580      0.576      0.573      0.549      0.533      0.518      0.522      0.518      0.514      0.525      0.522      0.525      0.675 
     0.686      0.533      0.537      0.569      0.639      0.576      0.400      0.400      0.627      0.549      0.573      0.788      0.765      0.733      0.757      0.792      0.831      0.835      0.835      0.827      0.812      0.765      0.686      0.667      0.737      0.722      0.757      0.780      0.816      0.761      0.753      0.831      0.792      0.537      0.529      0.671      0.800      0.804      0.573      0.451      0.431      0.408      0.408      0.420      0.427      0.451      0.427      0.424      0.435      0.439      0.451      0.443      0.447      0.443      0.435      0.459      0.443      0.455      0.467      0.471      0.475      0.463      0.471      0.471      0.471      0.451      0.482      0.647      0.608      0.537      0.510      0.549      0.545      0.447      0.412      0.463      0.459      0.427      0.463      0.471      0.463      0.498      0.443      0.490      0.486      0.412      0.447      0.545      0.600      0.545      0.427      0.404      0.482      0.651      0.729      0.714      0.690      0.686      0.675      0.627      0.616      0.678      0.686      0.624      0.588      0.588      0.655      0.624      0.655      0.655      0.498      0.455      0.498      0.557      0.675      0.643      0.655      0.675      0.600      0.514      0.494      0.510      0.475      0.412      0.408      0.424      0.353      0.333      0.349      0.345      0.322      0.310      0.325      0.325      0.341      0.349      0.365      0.400      0.408      0.388      0.576      0.812      0.871      0.898      0.910      0.906      0.898      0.914      0.890      0.867      0.855      0.604      0.404      0.447      0.482      0.455      0.478      0.537      0.533      0.553      0.549      0.525      0.486      0.580      0.580      0.510      0.525      0.447      0.373      0.329      0.345      0.392      0.392      0.353      0.337      0.353      0.365      0.455      0.463      0.388      0.345      0.365      0.396      0.533      0.627      0.655      0.561      0.643      0.604      0.576      0.502      0.471      0.518      0.467      0.533      0.624      0.580      0.584      0.596      0.580      0.498      0.455      0.486      0.408      0.455      0.537      0.506      0.478      0.451      0.467      0.561      0.608      0.596      0.569      0.580      0.580      0.600      0.608      0.510      0.518      0.490      0.510      0.620      0.608      0.616      0.608      0.675      0.635      0.647      0.635      0.616      0.612      0.620      0.588      0.584      0.573      0.592      0.592      0.588      0.624      0.620      0.584      0.557      0.573      0.549      0.522      0.561      0.557      0.522      0.510      0.522      0.537      0.525      0.510      0.604      0.765 
     0.643      0.600      0.537      0.525      0.627      0.529      0.392      0.522      0.710      0.624      0.608      0.686      0.678      0.663      0.702      0.776      0.827      0.812      0.792      0.749      0.667      0.714      0.698      0.643      0.659      0.698      0.718      0.702      0.729      0.722      0.604      0.733      0.812      0.671      0.510      0.545      0.631      0.745      0.780      0.553      0.435      0.424      0.427      0.435      0.427      0.443      0.435      0.435      0.435      0.431      0.431      0.451      0.443      0.427      0.431      0.447      0.439      0.451      0.455      0.455      0.463      0.467      0.490      0.478      0.475      0.490      0.427      0.525      0.659      0.616      0.592      0.525      0.506      0.561      0.576      0.545      0.525      0.475      0.427      0.427      0.404      0.416      0.396      0.412      0.416      0.427      0.510      0.580      0.600      0.655      0.584      0.529      0.663      0.745      0.773      0.780      0.761      0.694      0.714      0.686      0.612      0.647      0.678      0.667      0.533      0.525      0.604      0.549      0.482      0.627      0.624      0.549      0.635      0.643      0.545      0.514      0.541      0.451      0.380      0.396      0.455      0.494      0.510      0.455      0.424      0.376      0.345      0.318      0.318      0.361      0.333      0.314      0.306      0.314      0.333      0.365      0.341      0.357      0.408      0.396      0.494      0.784      0.898      0.933      0.941      0.925      0.922      0.910      0.886      0.894      0.792      0.478      0.478      0.525      0.494      0.541      0.576      0.510      0.557      0.561      0.549      0.541      0.553      0.541      0.580      0.502      0.486      0.420      0.443      0.490      0.341      0.369      0.376      0.341      0.388      0.467      0.396      0.471      0.518      0.486      0.494      0.404      0.376      0.396      0.494      0.620      0.600      0.573      0.561      0.541      0.443      0.424      0.435      0.494      0.596      0.588      0.541      0.510      0.463      0.502      0.545      0.463      0.451      0.373      0.408      0.494      0.537      0.510      0.510      0.533      0.608      0.635      0.600      0.612      0.584      0.592      0.576      0.541      0.561      0.541      0.549      0.537      0.482      0.627      0.741      0.745      0.690      0.686      0.663      0.616      0.643      0.631      0.608      0.604      0.596      0.576      0.557      0.600      0.588      0.612      0.600      0.573      0.573      0.561      0.533      0.518      0.506      0.518      0.522      0.510      0.498      0.537      0.533      0.565      0.690      0.776 
     0.631      0.561      0.529      0.569      0.647      0.549      0.412      0.420      0.588      0.706      0.776      0.690      0.612      0.596      0.612      0.706      0.698      0.647      0.671      0.659      0.635      0.678      0.694      0.647      0.631      0.655      0.722      0.733      0.749      0.804      0.725      0.682      0.784      0.722      0.745      0.784      0.749      0.620      0.729      0.667      0.467      0.435      0.443      0.431      0.439      0.431      0.455      0.451      0.439      0.439      0.431      0.439      0.455      0.443      0.447      0.451      0.443      0.475      0.478      0.475      0.463      0.471      0.498      0.490      0.459      0.494      0.482      0.388      0.502      0.635      0.600      0.627      0.588      0.569      0.580      0.573      0.580      0.553      0.494      0.380      0.341      0.376      0.373      0.376      0.447      0.518      0.545      0.635      0.737      0.780      0.671      0.631      0.718      0.737      0.718      0.749      0.761      0.761      0.765      0.729      0.655      0.631      0.600      0.612      0.553      0.541      0.549      0.584      0.580      0.635      0.643      0.671      0.800      0.804      0.592      0.475      0.455      0.376      0.361      0.380      0.404      0.478      0.498      0.482      0.455      0.388      0.357      0.322      0.322      0.325      0.314      0.318      0.353      0.318      0.337      0.357      0.376      0.392      0.384      0.431      0.722      0.871      0.875      0.929      0.902      0.831      0.875      0.886      0.851      0.745      0.557      0.404      0.416      0.498      0.561      0.694      0.584      0.522      0.506      0.561      0.541      0.541      0.553      0.557      0.490      0.478      0.529      0.384      0.459      0.529      0.416      0.396      0.400      0.376      0.463      0.573      0.416      0.345      0.431      0.565      0.537      0.424      0.404      0.431      0.565      0.675      0.702      0.612      0.506      0.455      0.396      0.392      0.435      0.490      0.447      0.451      0.439      0.416      0.404      0.424      0.541      0.486      0.345      0.345      0.361      0.412      0.498      0.475      0.529      0.600      0.612      0.612      0.608      0.588      0.596      0.627      0.580      0.588      0.596      0.557      0.584      0.569      0.604      0.612      0.624      0.737      0.769      0.769      0.686      0.604      0.627      0.635      0.655      0.624      0.612      0.620      0.651      0.663      0.592      0.596      0.620      0.608      0.565      0.533      0.557      0.557      0.518      0.537      0.533      0.529      0.518      0.533      0.557      0.694      0.776      0.753 
     0.659      0.478      0.533      0.588      0.659      0.533      0.420      0.361      0.455      0.655      0.678      0.588      0.482      0.533      0.569      0.596      0.545      0.592      0.706      0.698      0.690      0.671      0.671      0.655      0.635      0.635      0.651      0.698      0.714      0.788      0.812      0.741      0.780      0.796      0.788      0.839      0.835      0.686      0.627      0.706      0.624      0.463      0.451      0.451      0.443      0.459      0.447      0.447      0.427      0.435      0.431      0.431      0.455      0.443      0.439      0.455      0.439      0.447      0.467      0.455      0.451      0.471      0.475      0.471      0.459      0.482      0.502      0.459      0.420      0.412      0.490      0.647      0.655      0.541      0.506      0.537      0.624      0.584      0.498      0.392      0.376      0.384      0.400      0.412      0.459      0.525      0.584      0.737      0.776      0.671      0.596      0.596      0.682      0.725      0.690      0.761      0.784      0.773      0.780      0.761      0.698      0.620      0.557      0.506      0.514      0.478      0.467      0.537      0.573      0.580      0.612      0.690      0.702      0.624      0.427      0.490      0.600      0.482      0.384      0.384      0.376      0.431      0.471      0.478      0.486      0.412      0.376      0.376      0.365      0.353      0.325      0.314      0.357      0.341      0.369      0.376      0.408      0.384      0.408      0.682      0.882      0.902      0.839      0.831      0.663      0.620      0.780      0.800      0.710      0.600      0.510      0.424      0.498      0.588      0.510      0.608      0.553      0.529      0.522      0.518      0.557      0.553      0.525      0.506      0.475      0.467      0.537      0.490      0.380      0.427      0.478      0.439      0.471      0.478      0.510      0.486      0.404      0.361      0.353      0.455      0.455      0.373      0.412      0.439      0.502      0.553      0.639      0.584      0.435      0.451      0.424      0.373      0.416      0.412      0.369      0.357      0.365      0.353      0.341      0.341      0.439      0.396      0.314      0.333      0.357      0.373      0.404      0.463      0.549      0.616      0.600      0.600      0.600      0.584      0.612      0.604      0.604      0.592      0.573      0.588      0.573      0.592      0.588      0.573      0.635      0.600      0.659      0.737      0.788      0.792      0.698      0.635      0.643      0.651      0.678      0.631      0.620      0.631      0.627      0.584      0.569      0.576      0.580      0.545      0.525      0.529      0.522      0.518      0.506      0.533      0.522      0.525      0.639      0.745      0.761      0.769 
     0.667      0.412      0.467      0.486      0.561      0.467      0.369      0.392      0.373      0.404      0.494      0.459      0.416      0.486      0.541      0.482      0.494      0.533      0.565      0.596      0.592      0.584      0.639      0.647      0.627      0.631      0.612      0.631      0.698      0.796      0.804      0.761      0.749      0.749      0.718      0.765      0.741      0.780      0.600      0.549      0.722      0.549      0.475      0.443      0.443      0.447      0.443      0.431      0.427      0.424      0.427      0.435      0.447      0.447      0.475      0.459      0.447      0.471      0.475      0.475      0.463      0.486      0.478      0.478      0.471      0.498      0.518      0.494      0.467      0.427      0.376      0.467      0.620      0.631      0.490      0.494      0.596      0.525      0.420      0.420      0.404      0.408      0.455      0.616      0.482      0.502      0.557      0.584      0.635      0.604      0.553      0.624      0.686      0.682      0.698      0.784      0.765      0.765      0.812      0.780      0.773      0.733      0.627      0.553      0.533      0.490      0.490      0.494      0.506      0.475      0.541      0.608      0.522      0.514      0.490      0.498      0.545      0.573      0.451      0.416      0.380      0.380      0.427      0.471      0.486      0.451      0.412      0.388      0.349      0.345      0.329      0.329      0.392      0.388      0.388      0.396      0.400      0.388      0.620      0.847      0.886      0.882      0.729      0.565      0.663      0.792      0.769      0.714      0.682      0.525      0.537      0.533      0.537      0.518      0.506      0.537      0.522      0.529      0.541      0.510      0.533      0.557      0.494      0.518      0.569      0.529      0.506      0.541      0.537      0.463      0.412      0.502      0.580      0.510      0.490      0.455      0.494      0.494      0.400      0.427      0.424      0.400      0.388      0.369      0.361      0.400      0.396      0.424      0.404      0.373      0.369      0.388      0.467      0.561      0.451      0.365      0.357      0.353      0.373      0.380      0.424      0.392      0.361      0.349      0.361      0.357      0.439      0.549      0.584      0.584      0.604      0.576      0.580      0.600      0.580      0.624      0.596      0.541      0.620      0.580      0.565      0.576      0.569      0.635      0.624      0.573      0.580      0.635      0.675      0.737      0.780      0.729      0.678      0.635      0.675      0.592      0.580      0.620      0.596      0.576      0.592      0.584      0.576      0.565      0.525      0.502      0.525      0.529      0.529      0.565      0.514      0.616      0.769      0.765      0.761      0.808 
     0.612      0.400      0.384      0.459      0.471      0.420      0.384      0.365      0.404      0.376      0.392      0.365      0.357      0.416      0.478      0.459      0.455      0.439      0.478      0.510      0.565      0.506      0.486      0.549      0.576      0.678      0.639      0.580      0.596      0.765      0.812      0.800      0.722      0.706      0.718      0.753      0.675      0.690      0.745      0.604      0.631      0.733      0.647      0.467      0.447      0.439      0.443      0.443      0.455      0.451      0.431      0.439      0.443      0.459      0.475      0.459      0.455      0.463      0.463      0.475      0.475      0.475      0.471      0.482      0.467      0.482      0.486      0.467      0.455      0.435      0.400      0.369      0.420      0.553      0.506      0.451      0.451      0.388      0.416      0.404      0.420      0.416      0.439      0.561      0.482      0.478      0.463      0.498      0.553      0.643      0.718      0.741      0.769      0.784      0.788      0.831      0.796      0.745      0.824      0.808      0.737      0.737      0.682      0.631      0.580      0.545      0.533      0.557      0.565      0.541      0.529      0.541      0.435      0.494      0.541      0.510      0.553      0.529      0.471      0.412      0.365      0.365      0.380      0.427      0.467      0.471      0.459      0.427      0.380      0.341      0.333      0.322      0.353      0.404      0.412      0.416      0.392      0.420      0.753      0.875      0.761      0.612      0.608      0.753      0.843      0.878      0.796      0.694      0.612      0.494      0.635      0.553      0.498      0.510      0.525      0.541      0.522      0.522      0.533      0.529      0.498      0.541      0.514      0.502      0.584      0.569      0.569      0.533      0.584      0.549      0.459      0.525      0.635      0.659      0.533      0.490      0.518      0.545      0.576      0.643      0.592      0.427      0.373      0.373      0.396      0.345      0.435      0.737      0.722      0.573      0.498      0.510      0.533      0.667      0.545      0.408      0.388      0.388      0.424      0.451      0.502      0.467      0.447      0.365      0.376      0.376      0.506      0.584      0.557      0.580      0.608      0.600      0.608      0.576      0.600      0.608      0.557      0.576      0.580      0.576      0.588      0.584      0.588      0.584      0.600      0.608      0.569      0.616      0.537      0.549      0.667      0.659      0.678      0.643      0.702      0.612      0.553      0.608      0.561      0.580      0.604      0.596      0.576      0.529      0.541      0.525      0.525      0.541      0.549      0.545      0.576      0.710      0.741      0.784      0.788      0.757 
